#UniprotID   	 HMDB ID for target 
P21589       	 HMDBP00001 
P32321       	 HMDBP00002 
P30085       	 HMDBP00003 
Q96P26       	 HMDBP00004 
Q9BXI3       	 HMDBP00005 
Q8TCD5       	 HMDBP00006 
P27707       	 HMDBP00007 
Q9NPB1       	 HMDBP00008 
P35914       	 HMDBP00009 
P53396       	 HMDBP00010 
Q09472       	 HMDBP00011 
P11177       	 HMDBP00012 
Q9BWD1       	 HMDBP00013 
Q92793       	 HMDBP00014 
Q96F10       	 HMDBP00015 
O95822       	 HMDBP00016 
P22557       	 HMDBP00017 
O00763       	 HMDBP00018 
P11498       	 HMDBP00019 
P18440       	 HMDBP00020 
P11245       	 HMDBP00021 
P13196       	 HMDBP00022 
Q9UKN8       	 HMDBP00023 
Q8WYK0       	 HMDBP00024 
P28329       	 HMDBP00025 
Q9Y6Q9       	 HMDBP00026 
Q92831       	 HMDBP00027 
P43155       	 HMDBP00028 
P21673       	 HMDBP00029 
Q16613       	 HMDBP00030 
P42765       	 HMDBP00031 
Q9Y6F8       	 HMDBP00033 
P49327       	 HMDBP00035 
Q92993       	 HMDBP00036 
Q9NR19       	 HMDBP00037 
P24752       	 HMDBP00038 
Q15788       	 HMDBP00039 
P54868       	 HMDBP00040 
O00330       	 HMDBP00041 
Q9NUB1       	 HMDBP00042 
O75390       	 HMDBP00043 
Q9Y6F7       	 HMDBP00044 
P09110       	 HMDBP00045 
P08559       	 HMDBP00046 
Q13085       	 HMDBP00047 
P55084       	 HMDBP00048 
O75600       	 HMDBP00049 
P29803       	 HMDBP00050 
Q02252       	 HMDBP00051 
Q96EK6       	 HMDBP00052 
Q01581       	 HMDBP00053 
P09622       	 HMDBP00054 
P10515       	 HMDBP00055 
O75608       	 HMDBP00056 
Q8NCC3       	 HMDBP00057 
P39877       	 HMDBP00058 
Q9BZM2       	 HMDBP00059 
P47712       	 HMDBP00060 
P04054       	 HMDBP00061 
Q9BX93       	 HMDBP00062 
O15496       	 HMDBP00063 
Q9UHV8       	 HMDBP00064 
Q9NZK7       	 HMDBP00065 
O95372       	 HMDBP00066 
Q9BZM1       	 HMDBP00067 
O60733       	 HMDBP00068 
P04180       	 HMDBP00069 
Q05315       	 HMDBP00070 
P14555       	 HMDBP00072 
Q9UNK4       	 HMDBP00073 
P17516       	 HMDBP00074 
P16152       	 HMDBP00075 
Q9BTZ2       	 HMDBP00076 
O75828       	 HMDBP00077 
P15428       	 HMDBP00078 
O14684       	 HMDBP00079 
O14939       	 HMDBP00080 
Q9UBM1       	 HMDBP00081 
Q13393       	 HMDBP00082 
P23919       	 HMDBP00083 
P49961       	 HMDBP00084 
Q8WVQ1       	 HMDBP00085 
O75355       	 HMDBP00086 
P14679       	 HMDBP00087 
P15121       	 HMDBP00088 
Q15166       	 HMDBP00089 
P05187       	 HMDBP00090 
P27169       	 HMDBP00091 
Q15165       	 HMDBP00092 
P09923       	 HMDBP00093 
P11117       	 HMDBP00094 
P24666       	 HMDBP00095 
P05186       	 HMDBP00096 
P13686       	 HMDBP00097 
P15309       	 HMDBP00098 
P10696       	 HMDBP00099 
P14174       	 HMDBP00100 
P46597       	 HMDBP00101 
P28330       	 HMDBP00102 
P16219       	 HMDBP00103 
P11310       	 HMDBP00104 
Q9HA47       	 HMDBP00105 
O00746       	 HMDBP00106 
P23921       	 HMDBP00108 
P15531       	 HMDBP00109 
Q9Y5B8       	 HMDBP00110 
P31350       	 HMDBP00111 
P22392       	 HMDBP00112 
Q13232       	 HMDBP00113 
O75414       	 HMDBP00114 
O96000       	 HMDBP00116 
P03886       	 HMDBP00117 
O75438       	 HMDBP00118 
P22413       	 HMDBP00119 
O75306       	 HMDBP00120 
Q99643       	 HMDBP00121 
Q9P0Z9       	 HMDBP00122 
Q6QHF9       	 HMDBP00123 
Q9UI09       	 HMDBP00124 
P00387       	 HMDBP00125 
Q06278       	 HMDBP00126 
O15239       	 HMDBP00127 
Q9NRX3       	 HMDBP00128 
O95167       	 HMDBP00129 
P51970       	 HMDBP00130 
O00483       	 HMDBP00131 
P03901       	 HMDBP00132 
Q86Y39       	 HMDBP00133 
Q16881       	 HMDBP00134 
O75845       	 HMDBP00135 
O95178       	 HMDBP00136 
O43181       	 HMDBP00137 
P16083       	 HMDBP00138 
P03915       	 HMDBP00139 
O75489       	 HMDBP00140 
O43920       	 HMDBP00141 
P19404       	 HMDBP00142 
P49326       	 HMDBP00143 
O95299       	 HMDBP00144 
P56556       	 HMDBP00145 
Q15067       	 HMDBP00146 
Q99489       	 HMDBP00147 
P56181       	 HMDBP00148 
O95168       	 HMDBP00149 
P31040       	 HMDBP00150 
P30519       	 HMDBP00151 
O00217       	 HMDBP00152 
Q14534       	 HMDBP00153 
P03891       	 HMDBP00154 
Q99518       	 HMDBP00155 
P30038       	 HMDBP00156 
O95182       	 HMDBP00157 
Q9NNW7       	 HMDBP00158 
O43678       	 HMDBP00159 
Q99707       	 HMDBP00160 
P27338       	 HMDBP00161 
P28331       	 HMDBP00162 
O43674       	 HMDBP00163 
Q99424       	 HMDBP00164 
P31512       	 HMDBP00165 
P26440       	 HMDBP00166 
Q13822       	 HMDBP00167 
O43677       	 HMDBP00168 
P21397       	 HMDBP00169 
O95298       	 HMDBP00170 
P31513       	 HMDBP00171 
O43676       	 HMDBP00172 
P17568       	 HMDBP00173 
O14561       	 HMDBP00174 
Q16718       	 HMDBP00175 
Q16134       	 HMDBP00176 
Q16795       	 HMDBP00177 
P03905       	 HMDBP00178 
O14521       	 HMDBP00179 
O75251       	 HMDBP00180 
P47989       	 HMDBP00181 
P03897       	 HMDBP00182 
P16435       	 HMDBP00183 
Q02127       	 HMDBP00184 
Q01740       	 HMDBP00185 
P49821       	 HMDBP00186 
Q9Y6M9       	 HMDBP00187 
P42898       	 HMDBP00188 
P03923       	 HMDBP00189 
Q9P0J0       	 HMDBP00190 
O75380       	 HMDBP00191 
O15254       	 HMDBP00192 
P21912       	 HMDBP00193 
O14638       	 HMDBP00194 
O95139       	 HMDBP00195 
P00390       	 HMDBP00196 
P43304       	 HMDBP00197 
P09601       	 HMDBP00198 
P00352       	 HMDBP00199 
O95169       	 HMDBP00200 
Q8NE62       	 HMDBP00201 
Q92947       	 HMDBP00202 
Q9UI17       	 HMDBP00203 
P22570       	 HMDBP00204 
O94788       	 HMDBP00205 
P14920       	 HMDBP00206 
Q11203       	 HMDBP00207 
P40126       	 HMDBP00209 
P35557       	 HMDBP00210 
P46926       	 HMDBP00211 
P52790       	 HMDBP00212 
P52789       	 HMDBP00213 
O94808       	 HMDBP00214 
P19367       	 HMDBP00215 
Q06210       	 HMDBP00216 
P52788       	 HMDBP00217 
P19623       	 HMDBP00218 
P49366       	 HMDBP00219 
P52824       	 HMDBP00220 
P16233       	 HMDBP00221 
Q9NQ66       	 HMDBP00222 
Q15147       	 HMDBP00223 
Q00722       	 HMDBP00224 
P49619       	 HMDBP00225 
P11150       	 HMDBP00226 
P38571       	 HMDBP00227 
Q01970       	 HMDBP00228 
P54315       	 HMDBP00229 
P16885       	 HMDBP00230 
O43688       	 HMDBP00231 
Q9NST1       	 HMDBP00232 
P23743       	 HMDBP00233 
Q16760       	 HMDBP00234 
P52429       	 HMDBP00235 
P07098       	 HMDBP00236 
O14494       	 HMDBP00237 
Q9Y6T7       	 HMDBP00238 
Q9Y5X9       	 HMDBP00239 
O75912       	 HMDBP00240 
P19835       	 HMDBP00241 
O14495       	 HMDBP00242 
O75907       	 HMDBP00243 
P19174       	 HMDBP00244 
P54317       	 HMDBP00245 
Q13574       	 HMDBP00246 
P51178       	 HMDBP00247 
P80404       	 HMDBP00248 
P51649       	 HMDBP00249 
P06132       	 HMDBP00250 
P36551       	 HMDBP00251 
P19021       	 HMDBP00252 
P09172       	 HMDBP00253 
O14772       	 HMDBP00254 
Q8N0W3       	 HMDBP00255 
Q96PE7       	 HMDBP00256 
P22033       	 HMDBP00257 
P05166       	 HMDBP00258 
P05165       	 HMDBP00259 
P37268       	 HMDBP00260 
Q8TDX5       	 HMDBP00261 
O76062       	 HMDBP00262 
Q15800       	 HMDBP00263 
Q15738       	 HMDBP00264 
Q16850       	 HMDBP00265 
P07738       	 HMDBP00266 
P15259       	 HMDBP00267 
Q8N0Y7       	 HMDBP00268 
P18669       	 HMDBP00269 
O14832       	 HMDBP00270 
Q92185       	 HMDBP00271 
P21964       	 HMDBP00272 
P07101       	 HMDBP00273 
Q9Y285       	 HMDBP00274 
O95363       	 HMDBP00275 
P07202       	 HMDBP00276 
P17735       	 HMDBP00277 
P20711       	 HMDBP00278 
P22079       	 HMDBP00279 
