 ,betse_class,name,gene,model_ref,uniprot_acc,seq_file
betse/science/tissue/channels/gap_junction.py,Gap_Junction,gap junction,N/A,Harris et al. J of Neurosci.(1983) 3:79-100,N/A,N/A
betse/science/tissue/channels/vg_ca.py,Ca_L_lv,Low voltage activating L-type calcium channel,N/A,"Avery RB. et al. J. Neurosci., 1996 Sep 15 , 16 (5567-82)",N/A,N/A
betse/science/tissue/channels/vg_ca.py,Ca_L2,L-type calcium channel,N/A,"Carlin KP. et al. Eur. J. Neurosci., 2000 May , 12 (1624-34)",N/A,N/A
betse/science/tissue/channels/vg_ca.py,Ca_L3,L-type calcium channel,N/A,"Avery RB. et al. J. Neurosci., 1996 Sep 15 , 16 (5567-82)",N/A,N/A
betse/science/tissue/channels/vg_ca.py,CaLeak,Simple calcium leak channel,N/A,N/A,N/A,N/A
betse/science/tissue/channels/vg_k.py,K_Fast,K Fast,N/A,"Korngreen A. et al. J. Physiol. (Lond.), 2000 Jun 15 , 525 Pt 3 (621-39)",N/A,N/A
betse/science/tissue/channels/vg_k.py,K_Slow,VgKABC,N/A,"Korngreen A. et al. J. Physiol. (Lond.), 2000 Jun 15 , 525 Pt 3 (621-39)",N/A,N/A
betse/science/tissue/channels/vg_k.py,KLeak,Simple potassium leak channel,N/A,N/A,N/A,N/A
betse/science/tissue/channels/vg_na.py,NaLeak,Simple sodium leak channel,N/A,N/A,N/A,N/A
betse/science/tissue/channels/vg_na.py,NavRat1,Generic vgNa channel,N/A,"Huguenard JR. et al. J. Neurophysiol., 1988 Mar , 59 (778-95)",N/A,N/A
betse/science/tissue/channels/vg_na.py,NavRat2,Generic vgNa channel,N/A,"McCormick DA. et al. J. Neurophysiol., 1992 Oct , 68 (1384-400)",N/A,N/A
betse/science/tissue/channels/vg_na.py,NavRat3,Generic vgNa channel,N/A,"McCormick DA. et al. J. Neurophysiol., 1992 Oct , 68 (1384-400)",N/A,N/A
betse/science/tissue/channels/vg_ca.py,Ca_L,L-type calcium channel,CACNB4,"Avery RB. et al. J. Neurosci., 1996 Sep 15 , 16 (5567-82)",O00305,O00305.fasta
betse/science/tissue/channels/vg_ca.py,Ca_PQ,P/Q-type calcium channel (Cav2.1),CACNA1A,"Miyasho T. et al. Brain Res., 2001 Feb 9 , 891 (106-15)",O00555,O00555.fasta
betse/science/tissue/channels/vg_ca.py,Ca_T,T-type calcium channel,CACNA1G,"Traboulsie A. et al. J. Physiol. (Lond.), 2007 Jan 1 , 578 (159-71).",O43497,O43497.fasta
betse/science/tissue/channels/vg_funny.py,HCN1,HCN1,HCN1,"Moosmang S. et al. Eur. J. Biochem., 2001 Mar , 268 (1646-52)",O60741,O60741.fasta
betse/science/tissue/channels/vg_ca.py,Ca_L,L-type calcium channel,CACNA1F,"Avery RB. et al. J. Neurosci., 1996 Sep 15 , 16 (5567-82)",O60840,O60840.fasta
betse/science/tissue/channels/vg_ca.py,Ca_T,T-type calcium channel,CACNA1H,"Traboulsie A. et al. J. Physiol. (Lond.), 2007 Jan 1 , 578 (159-71).",O95180,O95180.fasta
betse/science/tissue/channels/vg_k.py,Kv1p2,Kv1.2,KCNA2,"Sprunger LK. et al. Eur. J. Pharmacol., 1996 Oct 31 , 314 (357-64)",P16389,P16389.fasta
betse/science/tissue/channels/vg_k.py,Kv1p3,Kv1.3,KCNA3,"Douglass J. et al. J. Immunol., 1990 Jun 15 , 144 (4841-50)",P22001,P22001.fasta
betse/science/tissue/channels/vg_k.py,Kv1p5,Kv1.5,KCNA5,"Philipson LH. et al. Proc. Natl. Acad. Sci. U.S.A., 1991 Jan 1 , 88 (53-7)",P22460,P22460.fasta
betse/science/tissue/channels/vg_ca.py,Ca_L,L-type calcium channel,CACNB3,"Avery RB. et al. J. Neurosci., 1996 Sep 15 , 16 (5567-82)",P54284,P54284.fasta
betse/science/tissue/channels/vg_kir.py,Kir2p1,Kir 2.1,KCNJ2,"Makary SM. et al. J. Physiol. (Lond.), 2005 Nov 1 , 568 (749-66)",P63252,P63252.fasta
betse/science/tissue/channels/vg_ca.py,Ca_L,L-type calcium channel,CACNA1D,"Avery RB. et al. J. Neurosci., 1996 Sep 15 , 16 (5567-82)",Q01668,Q01668.fasta
betse/science/tissue/channels/vg_ca.py,Ca_L,L-type calcium channel,CACNB1,"Avery RB. et al. J. Neurosci., 1996 Sep 15 , 16 (5567-82)",Q02641,Q02641.fasta
betse/science/tissue/channels/vg_kir.py,Kv3p4,Kv3p4,KCNC4,"Vega-Saenz de Miera E. et al. Proc. Biol. Sci., 1992 Apr 22 , 248 (9-18).",Q03721,Q03721.fasta
betse/science/tissue/channels/vg_ca.py,Ca_L,L-type calcium channel,CACNB2,"Avery RB. et al. J. Neurosci., 1996 Sep 15 , 16 (5567-82)",Q08289,Q08289.fasta
betse/science/tissue/channels/vg_k.py,Kv1p1,Kv1.1,KCNA1,"Christie MJ. et al. Science, 1989 Apr 14 , 244 (221-4)",Q09470,Q09470.fasta
betse/science/tissue/channels/vg_ca.py,Ca_L,L-type calcium channel,CACNA1S,"Avery RB. et al. J. Neurosci., 1996 Sep 15 , 16 (5567-82)",Q13698,Q13698.fasta
betse/science/tissue/channels/vg_ca.py,Ca_L,L-type calcium channel,CACNA1C,"Avery RB. et al. J. Neurosci., 1996 Sep 15 , 16 (5567-82)",Q13936,Q13936.fasta
betse/science/tissue/channels/vg_kir.py,Kv3p3,Kv3p3,KCNC3,"Desai R. et al. J. Biol. Chem., 2008 Aug 8 , 283 (22283-94)",Q14003,Q14003.fasta
betse/science/tissue/channels/vg_k.py,Kv2p1,Delayed rectifier potassium channel,KCNB1,"VanDongen AM. et al. Neuron, 1990 Oct , 5 (433-43)",Q14721,Q14721.fasta
betse/science/tissue/channels/vg_na.py,Nav1p2,NaV,SCN2A,"Hammil, OP et al. Cereb. Cortex, 1991, 1, 48-61",Q99250,Q99250.fasta
betse/science/tissue/channels/vg_na.py,Nav1p3,Nav1.3 sodium channel,SCN3A,"Cummins et al. J. Neurosci., 2001, 21, 5952-61",Q9NY46,Q9NY46.fasta
betse/science/tissue/channels/vg_ca.py,Ca_T,T-type calcium channel,CACNA1I,"Traboulsie A. et al. J. Physiol. (Lond.), 2007 Jan 1 , 578 (159-71).",Q9P0X4,Q9P0X4.fasta
betse/science/tissue/channels/vg_funny.py,HCN2,HCN2,HCN2,"Moosmang S. et al. Eur. J. Biochem., 2001 Mar , 268 (1646-52)",Q9UL51,Q9UL51.fasta
betse/science/tissue/channels/vg_nap.py,Nav1p6,Nav1.6,SCN8A,"Smith MR. et al. J. Neurosci., 1998 Aug 15 , 18 (6093-102).",Q9UQD0,Q9UQD0.fasta
betse/science/tissue/channels/vg_funny.py,HCN4,HCN4,HCN4,"Moosmang S. et al. Eur. J. Biochem., 2001 Mar , 268 (1646-52)",Q9Y3Q4,Q9Y3Q4.fasta
