PDB ID (human only)          ,# of PDBs,PDB ID (contains human)          ,# of PDBs, UniProt ID,Gene Symbol,Name,Process/Function,BETSE Model
,0,                                                                            ,0,J7LCD9,-,Best1V1Delta2,Cl- or Ca2+ channel; ? gating,-
,0,                                                                            ,0,Q59FK9,-,Bestrophin variant,Cl- or Ca2+ channel; ? gating,-
,0,                                                                            ,0,Q59GD3,-,"Calcium channel, voltage-dependent, beta 1 subunit isoform 1 variant",Ca2+ channel; Voltage-gated,vg_ca.Ca_L
,0,                                                                            ,0,Q59H42,-,"Calcium channel, voltage-dependent, beta 2 subunit isoform 1 variant",Ca2+ channel; Voltage-gated,vg_ca.Ca_L
,0,                                                                            ,0,Q59FJ3,-,"Calcium channel, voltage-dependent, L type, alpha 1B subunit variant",Ca2+ channel; Voltage-gated,vg_ca.Ca_PQ
,0,                                                                            ,0,Q9NVF8,-,"cDNA FLJ10762 fis, clone NT2RP4000008, moderately similar to CHLORINE CHANNEL PROTEIN P64",Cl- channel; ,-
,0,                                                                            ,0,B3KMH7,-,"cDNA FLJ11034 fis, clone PLACE1004258, highly similar to Transient receptor potential cation channel subfamily V member 2",cation channel; ,-
,0,                                                                            ,0,Q9HAF4,-,"cDNA FLJ11726 fis, clone HEMBA1005367, weakly similar to Homo sapiens melastatin 1 (MLSN1) mRNA",,-
,0,                                                                            ,0,Q96KB3,-,"cDNA FLJ14389 fis, clone HEMBA1002876",,-
,0,                                                                            ,0,B3KNL3,-,"cDNA FLJ14863 fis, clone PLACE1001771, highly similar to Short transient receptor potential channel 6",,-
,0,                                                                            ,0,B3KV08,-,"cDNA FLJ16016 fis, clone TESTI2002036, highly similar to Homo sapiens cation channel, sperm associated 2 (CATSPER2), transcript variant 1, mRNA",,vg_ca.Ca_T
,0,                                                                            ,0,Q6ZMN3,-,"cDNA FLJ16802 fis, clone TESTI4005158, highly similar to Amiloride-sensitive sodium channel delta-subunit",,-
,0,                                                                            ,0,Q9NXR9,-,"cDNA FLJ20087 fis, clone COL03793",,-
,0,                                                                            ,0,B3KNV3,-,"cDNA FLJ30527 fis, clone BRAWH2001019, highly similar to Kv channel-interacting protein 2",,-
,0,                                                                            ,0,B3KNX4,-,"cDNA FLJ30643 fis, clone CTONG2003782, highly similar to Gamma-aminobutyric-acid receptor pi subunit",,-
,0,                                                                            ,0,B3KP17,-,"cDNA FLJ30944 fis, clone FEBRA2007589, highly similar to Homo sapiens voltage gated channel like 1 (VGCNL1), mRNA",,vg_ca.Ca_L
,0,                                                                            ,0,B3KR10,-,"cDNA FLJ33416 fis, clone BRACE2019703, highly similar to Gamma-aminobutyric-acid receptor alpha-6 subunit",,-
,0,                                                                            ,0,B3KR27,-,"cDNA FLJ33529 fis, clone BRAMY2007244",,-
,0,                                                                            ,0,B3KR29,-,"cDNA FLJ33547 fis, clone BRAMY2008977, highly similar to P2X PURINOCEPTOR 7",,-
,0,                                                                            ,0,F8WJN4,-,"cDNA FLJ36053 fis, clone TESTI2018276, highly similar to Amiloride-sensitive sodium channel subunit delta",,-
,0,                                                                            ,0,B3KSG7,-,"cDNA FLJ36171 fis, clone TESTI2026215, highly similar to Homo sapiens two pore segment channel 1 (TPCN1), mRNA",,-
,0,                                                                            ,0,B3KSZ5,-,"cDNA FLJ37349 fis, clone BRAMY2021746, highly similar to Kv channel-interacting protein 2",,-
,0,                                                                            ,0,B3KSZ6,-,"cDNA FLJ37350 fis, clone BRAMY2021825, highly similar to Homo sapiens voltage gated channel like 1 (VGCNL1), mRNA",,vg_nap.Nav1p6
,0,                                                                            ,0,B3KTS5,-,"cDNA FLJ38670 fis, clone HSYRA2000190, highly similar to Voltage-dependent anion-selective channel protein 1",,-
,0,                                                                            ,0,Q8N8W8,-,"cDNA FLJ38750 fis, clone KIDNE2012563",,-
,0,                                                                            ,0,B3KWW9,-,"cDNA FLJ44046 fis, clone TESTI4030505",,-
,0,                                                                            ,0,B3KX38,-,"cDNA FLJ44659 fis, clone BRACE3002264, highly similar to Homo sapiens voltage gated channel like 1 (VGCNL1), mRNA",,vg_ca.Ca_L
,0,                                                                            ,0,B3KX53,-,"cDNA FLJ44764 fis, clone BRACE3032385, highly similar to Homo sapiens voltage gated channel like 1 (VGCNL1), mRNA",,vg_nap.Nav1p6
,0,                                                                            ,0,B3KXG1,-,"cDNA FLJ45350 fis, clone BRHIP3011567, highly similar to Voltage-dependent L-type calcium channelsubunit beta-1",,vg_ca.Ca_L
,0,                                                                            ,0,B3KXH2,-,"cDNA FLJ45401 fis, clone BRHIP3028742, highly similar to Transient receptor potential cation channel subfamily V member 3",,-
,0,                                                                            ,0,B3KXK1,-,"cDNA FLJ45583 fis, clone BRTHA3012265, highly similar to Homo sapiens solute carrier family 26, member 9 (SLC26A9), transcript variant 2, mRNA",,-
,0,                                                                            ,0,B3KXP7,-,"cDNA FLJ45826 fis, clone NT2RP8003787, highly similar to Transient receptor potential cation channel subfamily V member 3",,-
,0,                                                                            ,0,B3KXQ3,-,"cDNA FLJ45848 fis, clone OCBBF2009536, highly similar to Homo sapiens amiloride-sensitive cation channel 1, neuronal (degenerin) (ACCN1), transcript variant 1, mRNA",,-
,0,                                                                            ,0,Q6ZS12,-,"cDNA FLJ45908 fis, clone OCBBF3028001, moderately similar to Rattus norvegicus potassium channel subunit (Slack) (Slack)",,-
,0,                                                                            ,0,B3KXY3,-,"cDNA FLJ46312 fis, clone TESTI4040559, highly similar to Homo sapiens cyclic nucleotide gated channel alpha 2 (CNGA2), mRNA",,vg_funny.HCN1
,0,                                                                            ,0,B7Z398,-,"cDNA FLJ50012, highly similar to Potassium voltage-gated channel subfamily H member 8",,vg_funny.HCN1
,0,                                                                            ,0,B4DYE4,-,"cDNA FLJ50072, moderately similar to Mus musculus potassium channel, subfamily U, member 1 (Kcnu1), mRNA",,-
,0,                                                                            ,0,B7Z256,-,"cDNA FLJ50134, highly similar to Homo sapiens glutamate receptor, ionotropic, kainate 1 (GRIK1), transcript variant 2, mRNA",,-
,0,                                                                            ,0,B7Z7Z5,-,"cDNA FLJ50301, highly similar to Voltage-dependent L-type calcium channel subunit alpha-1C",,vg_ca.Ca_L
,0,                                                                            ,0,B7Z1K8,-,"cDNA FLJ50449, moderately similar to P2X purinoceptor 4",,-
,0,                                                                            ,0,B7Z1M5,-,"cDNA FLJ50452, highly similar to P2X purinoceptor 4",,-
,0,                                                                            ,0,B7Z1U5,-,"cDNA FLJ50461, highly similar to Voltage-dependent L-type calcium channel subunit beta-2",,vg_ca.Ca_L
,0,                                                                            ,0,B7Z2U3,-,"cDNA FLJ50516, highly similar to Homo sapiens calcium channel, voltage-dependent, beta 2 subunit, transcript variant 7, mRNA",,vg_ca.Ca_L
,0,                                                                            ,0,Q5VVH1,-,"cDNA FLJ50648, highly similar to Voltage-dependent L-type calcium channel subunit beta-2",,vg_ca.Ca_L
,0,                                                                            ,0,B4DII7,-,"cDNA FLJ50741, highly similar to Glutamate (NMDA) receptor subunit epsilon 1",,-
,0,                                                                            ,0,B4DJU3,-,"cDNA FLJ50742, highly similar to Inositol 1,4,5-trisphosphate receptor type 1",,-
,0,                                                                            ,0,B7Z269,-,"cDNA FLJ50754, highly similar to Voltage-dependent L-type calcium channel subunit alpha-1D",,vg_ca.Ca_L
,0,                                                                            ,0,B7Z3G2,-,"cDNA FLJ50969, highly similar to Bestrophin-1",,-
,0,                                                                            ,0,B7Z5C9,-,"cDNA FLJ51048, highly similar to Bestrophin-1",,-
,0,                                                                            ,0,B7Z8P6,-,"cDNA FLJ51439, highly similar to Glutamate receptor, ionotropic kainate 2",,-
,0,                                                                            ,0,B4DER3,-,"cDNA FLJ51757, highly similar to Inositol 1,4,5-trisphosphate receptor type 1",,-
,0,                                                                            ,0,B4DET7,-,"cDNA FLJ51803, highly similar to Ryanodine receptor 1",,-
,0,                                                                            ,0,B4DF44,-,"cDNA FLJ51809, highly similar to G protein-activated inward rectifier potassium channel 1",,vg_kir.Kir2p1
,0,                                                                            ,0,B4DGG5,-,"cDNA FLJ51831, highly similar to Voltage-dependent L-type calcium channel subunit alpha-1D",,vg_ca.Ca_L
,0,                                                                            ,0,B4DKD3,-,"cDNA FLJ51880, highly similar to Homo sapiens calcium channel, voltage-dependent, alpha 1G subunit, transcript variant 11, mRNA",,vg_ca.Ca_T
,0,                                                                            ,0,B7Z4C0,-,"cDNA FLJ51894, highly similar to Glutamate receptor 3",,-
,0,                                                                            ,0,B7Z435,-,"cDNA FLJ52197, highly similar to Voltage-gated potassium channel subunit beta-1",,-
,0,                                                                            ,0,B7Z4E9,-,"cDNA FLJ52443, highly similar to Glycine receptor alpha-2 chain",,-
,0,                                                                            ,0,B7Z1W1,-,"cDNA FLJ52587, highly similar to Glutamate receptor 1",,-
,0,                                                                            ,0,B7Z6N7,-,"cDNA FLJ52762, highly similar to Homo sapiens calcium channel, voltage-dependent, beta 1 subunit, transcript variant 3, mRNA",,vg_ca.Ca_L
,0,                                                                            ,0,B4DPJ3,-,"cDNA FLJ53436, highly similar to Potassium voltage-gated channel subfamily H member 6",,vg_funny.HCN4
,0,                                                                            ,0,B4DMC1,-,"cDNA FLJ53836, highly similar to Homo sapiens potassium channel, subfamily V, member 1 (KCNV1), mRNA",,vg_k.Kv1p2
,0,                                                                            ,0,B4DGH1,-,"cDNA FLJ54348, highly similar to Inositol 1,4,5-trisphosphate receptor type 1",,-
,0,                                                                            ,0,B4DGV4,-,"cDNA FLJ54506, highly similar to Ryanodine receptor 2",,-
,0,                                                                            ,0,B4DF71,-,"cDNA FLJ54597, highly similar to Amiloride-sensitive cation channel 2, neuronal",,-
,0,                                                                            ,0,B4DHL2,-,"cDNA FLJ54650, highly similar to Gamma-aminobutyric-acid receptor alpha-1 subunit",,-
,0,                                                                            ,0,B7Z2R5,-,"cDNA FLJ54674, highly similar to Homo sapiens two pore segment channel 1 (TPCN1), mRNA",,vg_ca.Ca_PQ
,0,                                                                            ,0,B4DHY9,-,"cDNA FLJ55208, highly similar to Kv channel-interacting protein 2",,-
,0,                                                                            ,0,B7Z513,-,"cDNA FLJ55817, highly similar to Calcium-activated potassium channel subunit beta 2",,-
,0,                                                                            ,0,B7Z4Q4,-,"cDNA FLJ56299, highly similar to Voltage-dependent L-type calcium channel subunit beta-1",,vg_ca.Ca_L
,0,                                                                            ,0,B7Z288,-,"cDNA FLJ56411, highly similar to Glutamate receptor 2",,-
,0,                                                                            ,0,B4DP30,-,"cDNA FLJ56498, highly similar to Small conductance calcium-activated potassiumchannel protein 1",,-
,0,                                                                            ,0,B4DUZ6,-,"cDNA FLJ56608, highly similar to Homo sapiens chloride channel, calcium activated, family member 1 (CLCA1), mRNA",,-
,0,                                                                            ,0,B7Z4P0,-,"cDNA FLJ56755, highly similar to Gamma-aminobutyric-acid receptor subunit beta-2",,-
,0,                                                                            ,0,B4DSH4,-,"cDNA FLJ56831, highly similar to Potassium voltage-gated channel subfamily KQT member 5",,-
,0,                                                                            ,0,B4DSR9,-,"cDNA FLJ56944, highly similar to Gamma-aminobutyric-acid receptor gamma-1subunit",,-
,0,                                                                            ,0,B4DFX3,-,"cDNA FLJ56966, highly similar to Gamma-aminobutyric-acid receptor alpha-5 subunit",,-
,0,                                                                            ,0,B7Z2M6,-,"cDNA FLJ57107, highly similar to Acetylcholine receptor protein subunit beta",,-
,0,                                                                            ,0,B4DL16,-,"cDNA FLJ57389, highly similar to Gamma-aminobutyric-acid receptor pi subunit",,-
,0,                                                                            ,0,B4DEI3,-,"cDNA FLJ57715, highly similar to Voltage-dependent anion-selective channel protein 1",,-
,0,                                                                            ,0,B4DEL7,-,"cDNA FLJ57719, highly similar to Gamma-aminobutyric-acid receptor beta-1 subunit",,-
,0,                                                                            ,0,B7Z1S2,-,"cDNA FLJ57842, highly similar to Voltage-dependent L-type calcium channel subunit beta-2",,vg_ca.Ca_L
,0,                                                                            ,0,B4DER2,-,"cDNA FLJ57909, highly similar to Gamma-aminobutyric-acid receptor rho-2 subunit",,-
,0,                                                                            ,0,B4DYE3,-,"cDNA FLJ58091, highly similar to Chloride channel protein 2",,-
,0,                                                                            ,0,B4DTP4,-,"cDNA FLJ58477, highly similar to Gamma-aminobutyric-acid receptor pi subunit",,-
,0,                                                                            ,0,B4DQR3,-,"cDNA FLJ58483, highly similar to Homo sapiens two pore segment channel 2 (TPCN2), mRNA",,-
,0,                                                                            ,0,B4E1W5,-,"cDNA FLJ58877, highly similar to FXYD domain-containing ion transport regulator 5",,-
,0,                                                                            ,0,B7Z6T5,-,"cDNA FLJ58949, highly similar to Voltage-dependent L-type calcium channel subunit beta-3",,vg_ca.Ca_L
