GenBank AC	UniProtKB AC
U48705	Q08345
M87338	P35250
X51757	P17066
X69699	Q06710
L36861	P43080
L13852	P41226
X55005	P10827
X79510	Q16825
M21121	P13501
J02843	P05181
X75208	P54753
L38487	P11474
M33318	P11509
L13720	Q14393
Z48481	P50281
L41690	Q15628
L00635	P49356
U38545	Q13393
U38980	Q13670
U66879	Q92934
D13988	P50395
BC001417	Q7L5W4
BC001360	P61586
BC001659	Q15287
BC000523	P62847
L05095	P62888
BC002398	P06748
AF275719	P08238
AF052179	P84077
AF182645	Q9UK43
AL078596	A0A0A0MSP4
AL078596	A6PVF6
AL078596	O60493
AL078596	Q9Y466
M94859	P27824
BC001393	Q9BV87
AF061832	P52272
M94630	Q14103
U16738	P50914
BC006249	Q16774
BC006479	Q9BQD3
D87914	P54368
BC005876	Q99437
AF285758	Q15046
AL356115	Q9H7U1
BC003621	Q00839
U48734	O43707
M18468	P10644
AB010427	O75083
BC000371	Q14165
BC003005	Q15185
M61715	P23381
BC003623	P63104
U28964	P63104
BC002356	Q02818
M27319	P62158
J02783	P07237
BC003395	P61077
D13642	Q15393
BC000478	P38646
AB034747	Q99732
BC000514	P40429
BC003358	P27635
U48296	Q93096
AF070603	Q71UM6
AF054183	P62826
U67280	O43852
BC001686	P31153
J03202	P11047
BC000355	P61978
BC002426	Q15121
AF033095	P55061
L13386	P43034
AB032261	O00767
AB028970	O75376
BC000779	A5YKK6
M32221	P07602
AL031685	A0A096LNN8
AL031685	A0A096LNT1
AL031685	A0A096LNV3
AL031685	A0A096LP02
AL031685	A0A096LPF9
AL031685	Q9UM82
AL031685	Q9Y2E8
AL031685	Q9Y508
BC000451	P62995
AK002091	B3KMK2
X56841	O19682
BC005354	P05387
AL162081	P61106
AB036737	Q9P2R6
AL136807	Q9Y6X1
BC000704	O60637
AF090891	Q86VP1
X16447	P13987
AL137335	O95373
U39361	Q13404
AB018284	O60841
U82164	P14209
BC000306	Q16836
AL031651	A0A087WUK3
AL031651	A0A087WWV7
AL031651	A0A087X0C1
AL031651	A0A087X2D2
AL031651	A0A0D9SFX6
AL031651	A0A0D9SGE1
AL031651	A2A299
AL031651	A2A2A0
AL031651	A2A2A1
AL031651	A2A2A2
AL031651	A2A2M0
AL031651	E9PIQ9
AL031651	E9PQF3
AL031651	H0Y738
AL031651	P21980
AL031651	Q5JYT7
AL031651	Q5JYT8
BC003617	P20340
M81635	P27105
AF155235	P55769
AF053641	P55060
BC000751	P63241
L08599	P12830
BC002513	P05198
U67195	P35625
AF141304	P51148
AF020500	P30419
D13989	P52565
J03005	P08754
J03198	P08754
D26351	Q14573
AB018009	Q01650
M21154	P17707
AF006751	Q9P2E9
BC001643	Q13829
AF061337	O00571
D55696	Q99538
BC000422	O95376
BC005338	P47755
BC000006	P05026
BC002416	P21810
AF119897	Q9P150
AB028991	Q8IVD9
AF267863	Q9H2I5
BC003064	P98082
J03068	P13798
Z48199	P18827
AK023321	Q9H8S9
BC003398	Q9H8S9
BC000182	P09525
U36189	Q16612
AB002380	Q9NZN5
BC003570	Q15836
AF010314	O14682
AF070656	Q9Y2Q2
AF205218	Q9Y6Y0
AB020657	Q9Y6Y0
AF242521	Q9HD73
U07802	P47974
AF062537	Q13618
AF057356	Q9HB71
AF279891	O43143
U23946	P52756
BC000687	Q15629
M80776	P25098
AL136179	Q06945
AF248966	O75787
D78132	Q15382
AJ132583	P55786
AF081496	O43684
BC002646	P05412
U59151	O60832
BC002802	P63272
BC004892	Q14257
BC000717	Q07666
BC005020	P30405
L36861	P43080
U66879	Q92934
U38980	Q13670
