UniProt ID,Gene Symbol,Name,Process/Function,Ions,Gating,Channel Class,In BETSE?
O00168,FXYD1,Phospholemman,NOT AN ION CHANNEL;,,,,
O00180,KCNK1,Potassium channel subfamily K member 1,K+ channel; Voltage;gated; Regulation of resting membrane potential,K+,Voltage,TWIK-1,
O00299,CLIC1,Chloride intracellular channel protein 1,Cl- channel; Voltage-gated; Cell-cycle regulation,Cl-,Voltage,ClIC1,
O00305,CACNB4,Voltage-dependent L-type calcium channel subunit beta-4,Ca2+ channel; Voltage-gated; Mutations related to epilepsy; Cerebellum & kidney,Ca2+,Voltage,cacng4,
O00408,PDE2A,"cGMP-dependent 3',5'-cyclic phosphodiesterase",NOT AN ION CHANNEL; specificy for cAMP & cGMP,,,,
O00476,SLC17A3,Sodium-dependent phosphate transport protein 4,(?) anion transporter,,,,
O00555,CACNA1A,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,"Ca2+ channel; Voltage-gated; excitable cells, muscle contraction, hormone/neurotransmitter release, gene expression, cell motility, cell division, cell death.",Ca2+,Voltage,Cav2.1 (P/Q-type),yes
O00591,GABRP,Gamma-aminobutyric acid receptor subunit pi,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
O14649,KCNK3,Potassium channel subfamily K member 3,K+ channel; Voltage-gated;,K+,Voltage,TASK-1 (K2P3.1),
O14764,GABRD,Gamma-aminobutyric acid receptor subunit delta,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
O14791,APOL1,Apolipoprotein L1,NOT AN ION CHANNEL; forms lipoproteins,,,,
O14958,CASQ2,Calsequestrin-2,NOT AN ION CHANNEL; Ca2+ binding protein; internal Ca store in muscle. Regulates Ca release from channel RYR2.,,,,
O14983,ATP2A1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,NOT AN ION CHANNEL; Ca2+ ATPase responsible for reuptake of cytosolic Ca2+; Ca2+ sequestration,,,,
O15247,CLIC2,Chloride intracellular channel protein 2,Cl- channel; pH dependent; Modulates activity of RyR2 and inhibits Ca influx; Mutations lead to intellecutal deficits.,Cl-,Voltage,ClIC2,
O15398,NMDAR2C,N-methyl-D-aspartate receptor 2C subunit,? channel; Ligand-gated; Glutamate-gated;,?,Ligand,,
O15399,GRIN2D,"Glutamate receptor ionotropic, NMDA 2D","Cation channel (high Ca2+ permeability, Mg2+ sensitivity is voltage-dependent); Ligand-gated; Glutamate-gated; ",cation,Ligand,NMDA,doable
O15547,P2RX6,P2X purinoceptor 6,Cation channel; Ligand-gated; ATP-gated;,cation,Ligand,P2X,
O15554,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4,K+ channel; ? gating; Required for maximum Ca2+ influx and proliferation during the reactivation of native T-cells;,K+,Ligand,SK4 (KCa3.1),
O43424,GRID2,"Glutamate receptor ionotropic, delta-2",May not be an ion channel; Ligand-gated; Glutamate-gated; Mutation associated with neurodegeneration,?,Ligand,NMDA,doable
O43448,KCNAB3,Voltage-gated potassium channel subunit beta-3,K+ channel; Voltage-gated;,K+,Voltage,KvBeta3,
