Superclass,Class,Subclass,Subfamily,Gene,InBETSE,InChannelpedia,Notes,Other_names,Number_of_proteins,UniProt
K,Kv1,Kv1.1,Subfamily A (Shaker-related Subfamily),KCNA1,N,N,?,,1,Q09470
K,Kv1,Kv1.2,Subfamily A (Shaker-related Subfamily),KCNA2,Y,Y,?,,1,P16389
K,Kv1,Kv1.3,Subfamily A (Shaker-related Subfamily),KCNA3,Y,Y,,,1,P22001
K,Kv1,Kv1.4,Subfamily A (Shaker-related Subfamily),KCNA4,N,N,(Rat),,1,
K,Kv1,Kv1.5,Subfamily A (Shaker-related Subfamily),KCNA5,Y,Y,,,1,P22460
K,Kv1,Kv1.6,Subfamily A (Shaker-related Subfamily),KCNA6,N,Y,(Xenopus),,1,
K,Kv1,Kv1.7,Subfamily A (Shaker-related Subfamily),KCNA7,N,N,,,2,
K,Kv1,Kv1.8,Subfamily A (Shaker-related Subfamily),KCNA10,N,N,? - are there parameters in Channelpedia?,,1,
K,Kv2,Kv2.1,Subfamily B (Shab-related Subfamily),KCNB1,Y,Y,,,3,Q2NLD5 Q14721
K,Kv2,Kv2.2,Subfamily B (Shab-related Subfamily),KCNB2,N,Y,(Xenopus),,1,
K,Kv3,Kv3.1,Subfamily C (Shaw-related Subfamily),KCNC1,N,Y,(misc),,2,
K,Kv3,Kv3.2,Subfamily C (Shaw-related Subfamily),KCNC2,N,Y,(incomplete parameters?),,4,
K,Kv3,Kv3.3,Subfamily C (Shaw-related Subfamily),KCNC3,Y,Y,"(Xenopus, CHO)",A-Kv3.3,2,
K,Kv3,Kv3.4,Subfamily C (Shaw-related Subfamily),KCNC4,Y,Y,(Xenopus),A-Kv3.4,3,
K,Kv4,Kv4.1,Subfamily D (Shai-related Subfamily),KCND1,N,N,,,2,
K,Kv4,Kv4.2,Subfamily D (Shai-related Subfamily),KCND2,N,N,(Rat),A-Kv4.2,4,
K,Kv4,Kv4.3,Subfamily D (Shai-related Subfamily),KCND3,N,N,,,3,
K,Kv5,Kv5.1,Subfamily F,KCNF1,N,N,,,1,
K,Kv6,Kv6.1,Subfamily G,KCNG1,N,N,,,5,
K,Kv6,Kv6.2,Subfamily G,KCNG2,N,N,,,1,
K,Kv6,Kv6.3,Subfamily G,KCNG3,N,N,,,1,
K,Kv6,Kv6.4,Subfamily G,KCNG4,N,N,-simplified gating model?,,3,
K,Kv7,Kv7.1,KQT-like Subfamily,KCNQ1,N,N,,KCNQ-KCNQ1 M-KCNQ1,4,
K,Kv7,Kv7.2,KQT-like Subfamily,KCNQ2,N,N,,KCNQ-KCNQ2 M-KCNQ2,21,
K,Kv7,Kv7.3,KQT-like Subfamily,KCNQ3,N,N,,KCNQ-KCNQ3 M-KCNQ3,3,
K,Kv7,Kv7.4,KQT-like Subfamily,KCNQ4,N,N,,KCNQ-KCNQ4 M-KCNQ4,2,
K,Kv7,Kv7.5,KQT-like Subfamily,KCNQ5,N,N,,KCNQ-KCNQ5 M-KCNQ5,9,
K,Kv8,Kv8.1,Subfamily V,KCNV1,N,N,,,2,
K,Kv8,Kv8.2,Subfamily V,KCNV2,N,N,,,1,
K,Kv9,Kv9.1,Subfamily S,KCNS1,N,N,,,2,
K,Kv9,Kv9.2,Subfamily S,KCNS2,N,N,,,1,
K,Kv9,Kv9.3,Subfamily S,KCNS3,N,N,,,2,
K,Kv10,Kv10.1,Subfamily H (eag),KCNH1,N,N,,,2,
K,Kv10,Kv10.2,Subfamily H (eag),KCNH5,N,N,-see Kv10.1,,2,
K,Kv11,Kv11.1,Subfamily H (erg),KCNH2,N,N,,,12,
K,Kv11,Kv11.2,Subfamily H (erg),KCNH6,N,N,,,3,
K,Kv11,Kv11.3,Subfamily H (erg),KCNH7,N,N,,,3,
K,Kv12,Kv12.1,Subfamily H (erg),KCNH8,N,N,,,1,
K,Kv12,Kv12.2,Subfamily H (erg),KCNH3,N,N,,,2,
K,Kv12,Kv12.3,Subfamily H (erg),KCNH4,N,N,,,1,
K,Kir,Kir1.1,Subfamily J (inward-rectifying),KCNJ1,N,N,,,3,
K,Kir,Kir2.1,Subfamily J (inward-rectifying),KCNJ2,Y,Y,,,1,
K,Kir,Kir2.2,Subfamily J (inward-rectifying),KCNJ12,N,N,,,1,
K,Kir,Kir2.3,Subfamily J (inward-rectifying),KCNJ4,N,N,,,3,
K,Kir,Kir2.4,Subfamily J (inward-rectifying),KCNJ14,N,N,,,1,
K,Kir,Kir3.1,Subfamily J (inward-rectifying),KCNJ3,N,N,,,4,
K,Kir,Kir3.2,Subfamily J (inward-rectifying),KCNJ6,N,N,,,1,
K,Kir,Kir3.3,Subfamily J (inward-rectifying),KCNJ9,N,N,,,1,
K,Kir,Kir3.4,Subfamily J (inward-rectifying),KCNJ5,N,N,,,6,
K,Kir,Kir4.1,Subfamily J (inward-rectifying),KCNJ10,N,N,,,2,
K,Kir,Kir4.2,Subfamily J (inward-rectifying),KCNJ15,N,N,,,1,
K,Kir,Kir5.1,Subfamily J (inward-rectifying),KCNJ16,N,N,,,2,
K,Kir,Kir6.1,Subfamily J (inward-rectifying),KCNJ8,N,N,,,3,
K,Kir,Kir6.2,Subfamily J (inward-rectifying),KCNJ11,N,N,,,6,
K,Kir,Kir7.1,Subfamily J (inward-rectifying),KCNJ13,N,N,,,3,
K,Kca,SK1,Subfamily N (intermediate/small conductance Ca-activated channel),KCNN1,N,N,,,1,
K,Kca,SK2,Subfamily N (intermediate/small conductance Ca-activated channel),KCNN2,N,N,,,2,
K,Kca,SK3,Subfamily N (intermediate/small conductance Ca-activated channel),KCNN3,N,N,,,4,
K,Kca,SK4,Subfamily N (intermediate/small conductance Ca-activated channel),KCNN4,N,N,,,8,
K,Kca,Slo1,Subfamily M (large conductance Ca-activated channel),KCNMA1,N,N,,,19,
K,Kca,Slo2,Subfamily T,KCNT1,N,N,,,8,
K,Kca,Slo2b,Subfamily T,KCNT2,N,N,,,3,
K,Kca,Slo3,Subfamily M (large conductance pH-sensitive channel),KCNMA3,N,N,(Gene lookup says this should be KCNU1),,3,
