ProbesetID	Num_matched_probes	RefSeq	UniGene	RIKEN	EntrezGene	Symbol	Description	Ensembl_representative	Cross_hyb_EntrezGeneIDs
gnf1h00001_x_at						CD36	Human CD36 antigen (collagen type I receptor, thrombospondin receptor) (CD36), mRNA		
gnf1h00002_x_at						ICAM1	Human intercellular adhesion molecule 1 (CD54), human rhinovirus receptor (ICAM1), mRNA		
gnf1h00003_x_at						CDKN1A	Human cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 1, mRNA		
gnf1h00004_x_at	16	NM_000595	Hs.36		4049	LTA	lymphotoxin alpha (TNF superfamily, member 1)		
gnf1h00005_x_at						ACTA1	Human actin, alpha 1, skeletal muscle (ACTA1), mRNA		
gnf1h00006_x_at						F3	Human coagulation factor III (thromboplastin, tissue factor) (F3), mRNA		
gnf1h00007_x_at	15		Hs.624952			FLT1	Transcribed locus		
gnf1h00008_x_at						HRC	Human histidine rich calcium binding protein (HRC), mRNA		
gnf1h00009_x_at						NPPB	Human natriuretic peptide precursor B (NPPB), mRNA		
gnf1h00010_x_at						CSRP3	Human cysteine and glycine-rich protein 3 (cardiac LIM protein) (CSRP3), mRNA		
gnf1h00011_x_at						ARHB	Human ras homolog gene family, member B (ARHB), mRNA		
gnf1h00012_x_at						COX6A2	Human cytochrome c oxidase subunit VIa polypeptide 2 (COX6A2), nuclear gene encoding mitochondrial protein, mRNA		
gnf1h00013_x_at						H1F0	Human H1 histone family, member 0 (H1F0), mRNA		
gnf1h00014_x_at						FOSL1	Human FOS-like antigen 1 (FOSL1), mRNA		
gnf1h00015_x_at	8		Hs.272499		10202	DHRS2	dehydrogenase/reductase (SDR family) member 2		
gnf1h00016_x_at						CD36	Human CD36 antigen (collagen type I receptor, thrombospondin receptor) (CD36), mRNA		
gnf1h00017_x_at						ICAM1	Human intercellular adhesion molecule 1 (CD54), human rhinovirus receptor (ICAM1), mRNA		
gnf1h00018_x_at						CDKN1A	Human cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 1, mRNA		
gnf1h00019_x_at						TNF	Human tumor necrosis factor (TNF superfamily, member 2) (TNF), mRNA		
gnf1h00020_x_at						ACTA1	Human actin, alpha 1, skeletal muscle (ACTA1), mRNA		
gnf1h00021_x_at	12		Hs.559746			F3	Transcribed locus, strongly similar to XP_513576.1 PREDICTED: similar to Tissue factor precursor (TF) (Coagulation factor III) (Thromboplastin) (CD142 antigen) [Pan troglodytes]		
gnf1h00022_x_at						FLT1	Human fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor) (FLT1), mRNA		
gnf1h00023_x_at						HRC	Human histidine rich calcium binding protein (HRC), mRNA		
gnf1h00024_x_at						NPPB	Human natriuretic peptide precursor B (NPPB), mRNA		
gnf1h00025_x_at						CSRP3	Human cysteine and glycine-rich protein 3 (cardiac LIM protein) (CSRP3), mRNA		
gnf1h00026_x_at						ARHB	Human ras homolog gene family, member B (ARHB), mRNA		
gnf1h00027_x_at						COX6A2	Human cytochrome c oxidase subunit VIa polypeptide 2 (COX6A2), nuclear gene encoding mitochondrial protein, mRNA		
gnf1h00028_x_at						H1F0	Human H1 histone family, member 0 (H1F0), mRNA		
gnf1h00029_x_at						FOSL1	Human FOS-like antigen 1 (FOSL1), mRNA		
gnf1h00030_x_at						HEP27	Human short-chain alcohol dehydrogenase family member (HEP27), mRNA		
gnf1h00031_at	10	NM_000522	Hs.592172		3209	HOXA13	homeobox A13	ENST00000222753	
gnf1h00032_at	10	NM_000670			127	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	ENST00000265512	
gnf1h00033_at						CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta		
gnf1h00034_s_at						CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta		
gnf1h00035_at	11	NM_001371	Hs.520106		1769	DNAH8	dynein, axonemal, heavy polypeptide 8		
gnf1h00036_at	10	NM_001570	Hs.449207		3656	IRAK2	interleukin-1 receptor-associated kinase 2	ENST00000256458	
gnf1h00037_at	11	NM_001971	Hs.348395		1990	ELA1	elastase 1, pancreatic	ENST00000293636	
gnf1h00038_at	11	NM_002645	Hs.175343		5286	PIK3C2A	phosphoinositide-3-kinase, class 2, alpha polypeptide	ENST00000265970	
gnf1h00039_at	11	NM_003251	Hs.591969		7069	THRSP	thyroid hormone responsive (SPOT14 homolog, rat)	ENST00000281030	
gnf1h00040_at	11		Hs.307004		7455	ZAN	zonadhesin		
gnf1h00041_at	11	NM_003395			7483	WNT9A	wingless-type MMTV integration site family, member 9A		
gnf1h00042_s_at	9		Hs.413901		8550	MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5	ENST00000202788	
gnf1h00043_at	11	NM_003777	Hs.432390		8701	DNAH11	dynein, axonemal, heavy polypeptide 11	ENST00000328843	
gnf1h00044_at	11	NM_003844	Hs.591834		8797	TNFRSF10A	tumor necrosis factor receptor superfamily, member 10a		
gnf1h00045_at	11	NM_004004	Hs.591234		2706	GJB2	gap junction protein, beta 2, 26kDa (connexin 26)		
gnf1h00046_at	10		Hs.584744		828	CAPS	calcyphosine	ENST00000222125	
gnf1h00047_at						FASN	fatty acid synthase		
gnf1h00048_at						RBP2	retinol binding protein 2, cellular		
gnf1h00049_at	11		Hs.151787		9343	EFTUD2	elongation factor Tu GTP binding domain containing 2		
gnf1h00050_at	11	NM_004293	Hs.494163		9615	GDA	guanine deaminase		
gnf1h00051_s_at	11	NM_004293	Hs.494163		9615	GDA	guanine deaminase		
gnf1h00052_at	11		Hs.101302		1303	COL12A1	collagen, type XII, alpha 1		
gnf1h00053_at	11	NM_004409			1760	DMPK	dystrophia myotonica-protein kinase		
gnf1h00054_s_at	11	NM_004409	Hs.631596		1760	DMPK	dystrophia myotonica-protein kinase		
gnf1h00055_at	11	NM_004416			1840	DTX1	deltex homolog 1 (Drosophila)	ENST00000257600	
gnf1h00056_at	8	NM_004497	Hs.36137		3171	FOXA3	forkhead box A3	ENST00000302177	
gnf1h00057_at	11	NM_004548			4716	NDUFB10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa		
gnf1h00058_at	11	NM_004589	Hs.14511		6341	SCO1	SCO cytochrome oxidase deficient homolog 1 (yeast)	ENST00000255390	
gnf1h00059_at	10	NM_004655	Hs.156527		8313	AXIN2	axin 2 (conductin, axil)	ENST00000307078	
gnf1h00060_s_at	11	NM_004655	Hs.156527		8313	AXIN2	axin 2 (conductin, axil)	ENST00000307078	
gnf1h00061_at	9	NM_004736	Hs.227656		9213	XPR1	xenotropic and polytropic retrovirus receptor		
gnf1h00062_at	11	NM_004756	Hs.326953		9253	NUMBL	numb homolog (Drosophila)-like	ENST00000252891	
gnf1h00063_at	11	NM_004823	Hs.240395		9424	KCNK6	potassium channel, subfamily K, member 6	ENST00000263372	
gnf1h00064_at	11	NM_004917			9622	KLK4	kallikrein 4 (prostase, enamel matrix, prostate)	ENST00000324041	
gnf1h00065_at	11	NM_005005			4715	NDUFB9	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa		
gnf1h00066_at						SLC27A4	solute carrier family 27 (fatty acid transporter), member 4		
gnf1h00067_at	11	NM_005099	Hs.211604		9507	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif, 4	ENST00000367996	
gnf1h00068_at	11	NM_005117	Hs.249200		9965	FGF19	fibroblast growth factor 19	ENST00000294312	
gnf1h00069_at	11		Hs.495989		2857	GPR34	G protein-coupled receptor 34		
gnf1h00070_at	11	NM_005442	Hs.591663		8320	EOMES	eomesodermin homolog (Xenopus laevis)	ENST00000295743	
gnf1h00071_at						ZNF265	zinc finger protein 265		
gnf1h00072_at	9	NM_005472	Hs.523899		10008	KCNE3	potassium voltage-gated channel, Isk-related family, member 3	ENST00000310128	
gnf1h00073_at	10		Hs.306412		10044	SH2D3C	SH2 domain containing 3C		
gnf1h00074_at	9	NM_005618			28514	DLL1	delta-like 1 (Drosophila)	ENST00000366756	
gnf1h00075_at	10	NM_005687			10056	FARSLB	phenylalanine-tRNA synthetase-like, beta subunit	ENST00000281828	
gnf1h00076_at	11	NM_005708			10082	GPC6	glypican 6	ENST00000377047	
gnf1h00077_at	9	NM_005773			10172	ZNF256	zinc finger protein 256	ENST00000282308	
gnf1h00078_at	10	NM_005786	Hs.284217		10194	SDCCAG33	serologically defined colon cancer antigen 33	ENST00000322038	
gnf1h00079_at	11	NM_005811	Hs.643604		10220	GDF11	growth differentiation factor 11	ENST00000257868	
gnf1h00080_s_at	11	NM_005811	Hs.643604		10220	GDF11	growth differentiation factor 11	ENST00000257868	
gnf1h00081_at	9		Hs.643467		9963	SLC23A1	solute carrier family 23 (nucleobase transporters), member 1		
gnf1h00082_at	11	NM_005869			10283	SDCCAG10	serologically defined colon cancer antigen 10		
gnf1h00083_at	9	NM_005937	Hs.91531		4302	MLLT6	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6		
gnf1h00084_at	10	NM_130385	Hs.501898		10335	MRVI1	murine retrovirus integration site 1 homolog	ENST00000308763	
gnf1h00085_at	11	NM_006073			10345	TRDN	triadin		
gnf1h00086_at	11	NM_006179	Hs.266902		4909	NTF5	neurotrophin 5 (neurotrophin 4/5)	ENST00000301411	
gnf1h00087_s_at	11	NM_006179			4909	NTF5	neurotrophin 5 (neurotrophin 4/5)		
gnf1h00088_at	11	NM_006269	Hs.512441		6101	RP1	retinitis pigmentosa 1 (autosomal dominant)	ENST00000220676	
gnf1h00089_at	11		Hs.597915		6487	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3		
gnf1h00090_at	11	NM_006341	Hs.19400		10459	MAD2L2	MAD2 mitotic arrest deficient-like 2 (yeast)		
gnf1h00091_at	11	NM_006546	Hs.144936		10642	IGF2BP1	insulin-like growth factor 2 mRNA binding protein 1	ENST00000290341	
gnf1h00092_at	11	NM_006557	Hs.59506		10655	DMRT2	doublesex and mab-3 related transcription factor 2		
gnf1h00093_s_at	11		Hs.59506		10655	DMRT2	doublesex and mab-3 related transcription factor 2		
gnf1h00094_x_at	11		Hs.59506		10655	DMRT2	doublesex and mab-3 related transcription factor 2		
gnf1h00095_at	11	NM_006594	Hs.515048		10717	AP4B1	adaptor-related protein complex 4, beta 1 subunit		
gnf1h00096_at	11	NM_006645			10809	STARD10	START domain containing 10	ENST00000334805	
gnf1h00097_at						SDCCAG43	serologically defined colon cancer antigen 43		
gnf1h00098_at	11	NM_006651			10815	CPLX1	complexin 1	ENST00000304062	
gnf1h00099_at						SGT1	suppressor of G2 allele of SKP1, S. cerevisiae, homolog of		
gnf1h00100_at	11	NM_006871	Hs.268551		11035	RIPK3	receptor-interacting serine-threonine kinase 3		
gnf1h00101_at	11	NM_007055	Hs.436896		11128	POLR3A	polymerase (RNA) III (DNA directed) polypeptide A, 155kDa	ENST00000372371	
gnf1h00102_at	8		Hs.584807		6941	TCF19	transcription factor 19 (SC1)		
gnf1h00103_at	11	NM_007129	Hs.591205		7546	ZIC2	Zic family member 2 (odd-paired homolog, Drosophila)	ENST00000376335	
gnf1h00104_x_at						ZIC2	Zic family member 2 (odd-paired homolog, Drosophila)		
gnf1h00105_at	11	NM_007148	Hs.189482		7732	ZNF179	zinc finger protein 179	ENST00000299604	
gnf1h00106_at	9	NM_007159	Hs.476432		7871	SLMAP	sarcolemma associated protein		
gnf1h00107_at	11	NM_007204	Hs.591405		11218	DDX20	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20	ENST00000369702	
gnf1h00108_at	10		Hs.612084		11244	ZHX1	zinc fingers and homeoboxes 1	ENST00000297857	
gnf1h00109_s_at						ELL2	ELL-RELATED RNA POLYMERASE II, ELONGATION FACTOR		
gnf1h00110_at	11	NM_012089			23456	ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10		
gnf1h00111_at						PRDX5	peroxiredoxin 5		
gnf1h00112_at	11		Hs.500104		26985	AP3M1	adaptor-related protein complex 3, mu 1 subunit	ENST00000355264	
gnf1h00113_s_at	11		Hs.500104		26985	AP3M1	adaptor-related protein complex 3, mu 1 subunit		
gnf1h00114_s_at	10		Hs.513631		23568	ARL2BP	ADP-ribosylation factor-like 2 binding protein	ENST00000219204	
gnf1h00115_s_at						CCNDBP1	cyclin D-type binding-protein 1		
gnf1h00116_at	11	NM_012158			26224	FBXL3	F-box and leucine-rich repeat protein 3		
gnf1h00117_at	11	NM_012159			26223	FBXL21	F-box and leucine-rich repeat protein 21		
gnf1h00118_at	8		Hs.461000		26231	LRRC29	leucine rich repeat containing 29	ENST00000341546	
gnf1h00119_at	11		Hs.438454		26260	FBXO25	F-box protein 25		
gnf1h00120_at	11	NM_012180	Hs.76917		26269	FBXO8	F-box protein 8		
gnf1h00121_at	9		Hs.436416		22801	ITGA11	integrin, alpha 11	ENST00000315757	
gnf1h00122_at	11	NM_012255	Hs.255932		22803	XRN2	5'-3' exoribonuclease 2	ENST00000377191	
gnf1h00123_at	9	NM_012260	Hs.63290		26061	PHYH2	phytanoyl-CoA 2-hydroxylase 2		
gnf1h00124_at	11		Hs.592141		4773	NFATC2	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2		
gnf1h00125_s_at	11	NM_012388			26258	PLDN	pallidin homolog (mouse)	ENST00000220531	
gnf1h00126_at						TIMM13A	translocase of inner mitochondrial membrane 13 homolog A (yeast)		
gnf1h00127_x_at						TIMM13A	translocase of inner mitochondrial membrane 13 homolog A (yeast)		
gnf1h00128_at						YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide		
gnf1h00129_at	8	NM_013237			27166	PX19	px19-like protein	ENST00000303204	
gnf1h00130_at	11		Hs.108106		29128	UHRF1	ubiquitin-like, containing PHD and RING finger domains, 1	ENST00000262952	
gnf1h00131_at	11	NM_013302	Hs.498892		29904	EEF2K	eukaryotic elongation factor-2 kinase	ENST00000263026	
gnf1h00132_at	8					LQFBS-1	ENST00000321081 transcript (in rel.42.36d)	ENST00000321081	
